 
                                                                                                                                                                                                                                                                
 
 
Class Variable Summary Statistics

Data Role=SCORE Output Type=SEGMENT

                    Numeric    Formatted    Frequency
    Variable         Value       Value        Count      Percent

b_Cases_in_1000s        1         1             35        5.3846
b_Cases_in_1000s        2         2             43        6.6154
b_Cases_in_1000s        3         3             43        6.6154
b_Cases_in_1000s        4         4             51        7.8462
b_Cases_in_1000s        5         5             66       10.1538
b_Cases_in_1000s        6         6             21        3.2308
b_Cases_in_1000s        7         7             82       12.6154
b_Cases_in_1000s        8         8             55        8.4615
b_Cases_in_1000s        9         9             25        3.8462
b_Cases_in_1000s       10         10            27        4.1538
b_Cases_in_1000s       11         11            20        3.0769
b_Cases_in_1000s       12         12            38        5.8462
b_Cases_in_1000s       13         13            38        5.8462
b_Cases_in_1000s       14         14            53        8.1538
b_Cases_in_1000s       15         15            19        2.9231
b_Cases_in_1000s       16         16            11        1.6923
b_Cases_in_1000s       17         17             9        1.3846
b_Cases_in_1000s       18         18            10        1.5385
b_Cases_in_1000s       19         19             2        0.3077
b_Cases_in_1000s       20         20             2        0.3077


Data Role=TRAIN Output Type=SEGMENT

                    Numeric    Formatted    Frequency
    Variable         Value       Value        Count      Percent

b_Cases_in_1000s        1         1             34       3.88571
b_Cases_in_1000s        2         2             44       5.02857
b_Cases_in_1000s        3         3             44       5.02857
b_Cases_in_1000s        4         4             43       4.91429
b_Cases_in_1000s        5         5             44       5.02857
b_Cases_in_1000s        6         6             44       5.02857
b_Cases_in_1000s        7         7             44       5.02857
b_Cases_in_1000s        8         8             43       4.91429
b_Cases_in_1000s        9         9             44       5.02857
b_Cases_in_1000s       10         10            44       5.02857
b_Cases_in_1000s       11         11            45       5.14286
b_Cases_in_1000s       12         12            43       4.91429
b_Cases_in_1000s       13         13            45       5.14286
b_Cases_in_1000s       14         14            48       5.48571
b_Cases_in_1000s       15         15            47       5.37143
b_Cases_in_1000s       16         16            44       5.02857
b_Cases_in_1000s       17         17            44       5.02857
b_Cases_in_1000s       18         18            44       5.02857
b_Cases_in_1000s       19         19            44       5.02857
b_Cases_in_1000s       20         20            43       4.91429


Data Role=VALIDATE Output Type=SEGMENT

                    Numeric    Formatted    Frequency
    Variable         Value       Value        Count      Percent

b_Cases_in_1000s        1         1             14       3.73333
b_Cases_in_1000s        2         2             17       4.53333
b_Cases_in_1000s        3         3             25       6.66667
b_Cases_in_1000s        4         4             13       3.46667
b_Cases_in_1000s        5         5             22       5.86667
b_Cases_in_1000s        6         6             12       3.20000
b_Cases_in_1000s        7         7             13       3.46667
b_Cases_in_1000s        8         8             16       4.26667
b_Cases_in_1000s        9         9              8       2.13333
b_Cases_in_1000s       10         10            22       5.86667
b_Cases_in_1000s       11         11            17       4.53333
b_Cases_in_1000s       12         12            19       5.06667
b_Cases_in_1000s       13         13            22       5.86667
b_Cases_in_1000s       14         14            24       6.40000
b_Cases_in_1000s       15         15            28       7.46667
b_Cases_in_1000s       16         16            14       3.73333
b_Cases_in_1000s       17         17            20       5.33333
b_Cases_in_1000s       18         18            25       6.66667
b_Cases_in_1000s       19         19            21       5.60000
b_Cases_in_1000s       20         20            23       6.13333
 
                                                                                                                                                                                                                                                                
 
 
Interval Variable Summary Statistics

Variable Name=P_Cases_in_1000s

Statistics    Label                    TRAIN    VALIDATE       SCORE

  MEAN        Mean                    49.458      46.979      70.059
  STD         Standard Deviation      72.734      73.617      79.698
  N           Non Missing            875.000     375.000     650.000
  MIN         Minimum                -28.827     -21.621      -9.510
  P25         25th Percentile          4.574       3.369      17.660
  MEDIAN      Median                  22.250      17.765      48.136
  P75         75th Percentile         53.702      53.008      87.806
  MAX         Maximum                330.596     331.555     391.811
