Year	 SS_Wage_Limit 
1972	" 9,000.00 "
1973	" 10,800.00 "
1974	" 13,200.00 "
1975	" 14,100.00 "
1976	" 15,300.00 "
1977	" 16,500.00 "
1978	" 17,700.00 "
1979	" 22,900.00 "
1980	" 25,900.00 "
1981	" 29,700.00 "
1982	" 32,400.00 "
1983	" 35,700.00 "
1984	" 37,800.00 "
1985	" 39,600.00 "
1986	" 42,000.00 "
1987	" 43,800.00 "
1988	" 45,000.00 "
1989	" 48,000.00 "
1990	" 51,300.00 "
1991	" 53,400.00 "
1992	" 55,500.00 "
1993	" 57,600.00 "
1994	" 60,600.00 "
1995	" 61,200.00 "
1996	" 62,700.00 "
1997	" 65,400.00 "
1998	" 68,400.00 "
1999	" 72,600.00 "
2000	" 76,200.00 "
2001	" 80,400.00 "
2002	" 84,900.00 "
2003	" 87,000.00 "
2004	" 87,900.00 "
2005	" 90,000.00 "
2006	" 94,200.00 "
2007	" 97,500.00 "
2008	" 102,000.00 "
2009	" 106,800.00 "
2010	" 106,800.00 "
2011	" 106,800.00 "
2012	" 110,100.00 "
2013	" 113,700.00 "
2014	" 117,000.00 "
